GTA SA MEMORY FUNCTIONS/MEMORY ADDRESS research

(offsets) for GTA SA PC only!! (see notes at bottom of file incase you happen to see some mobile-related stuff come across..)

  Address            FUNCTION

 000B:FEEAA000       __ImageBase
 0001:00000167       CCamera__Fade_
 0001:00000804       _ZN12CAnimManager17GetAnimationBlockEPKc2
 0001:00000847       FxManager_c::CreateFxSystem(FxSystemBP_c *,RwMatrixTag *,RwMatrixTag *,uchar)
 0001:00000927       CObject::ObjectDamage(float,CVector *,CVector *,CEntity *,eWeaponType_)
 0001:00000981       CEventHandler::ComputeEventResponseTask(CEvent *,CTask *)
 0001:00000C9E       CCollision::ProcessColModels(CMatrix const&,CColModel &,CMatrix const&,CColModel &,CColPoint *,CColPoint *,float *,bool)
 0001:00000DB8       CTaskSimpleCarSetPedInAsPassenger::ProcessPed(CPed *)
 0001:00000DC3       _ZN4CCam26Process_DW_PlaneSpotterCamEb_
 0001:00000EC7       CRadar::LimitRadarPoint(CVector2D &)
 0001:0000115B       _ZN8CWeather15ForceWeatherNowEs_
 0001:00001231       _ZN16CAtomicModelInfo24SetupVehicleUpgradeFlagsEPKc_
 0001:000027EF       j_CStreaming__MakeSpaceFor
 0001:00002E00       CBuilding::CBuilding(void)
 0001:00002E20       CEntity::SetIsStatic(bool)
 0001:00002E40       CEntity::ProcessControl(void)
 0001:00002E50       CEntity::ProcessCollision(void)
 0001:00002E60       CEntity::ProcessShift(void)
 0001:00002E70       CEntity::TestCollision(bool)
 0001:00002E80       CEntity::Teleport(CVector,uchar)
 0001:00002E90       CEntity::SpecialEntityPreCollisionStuff(CPhysical *,bool,bool &,bool &,bool &,bool &)
 0001:00002EA0       CEntity::SpecialEntityCalcCollisionSteps(bool &,bool &)
 0001:00002EB0       CEntity::FlagToDestroyWhenNextProcessed(void)
 0001:00002F00       CAnimatedBuilding::PreRender(void)
 0001:00003090       CBuilding::operator new(uint)
 0001:00003180       CEntity::~CEntity()
 0001:00003780       CIplStore::GetNewIplEntityIndexArray(int)
 0001:000037B0       CIplStore::GetIplEntityIndexArray(int)
 0001:00003D12       Fx_c::TriggerWaterHydrant(CVector &)
 0001:00003DE0       CIplStore::SetupRelatedIpls(char const*,int,CEntity **)
 0001:00004855       FxManager_c::Render(RwCamera *,uchar)
 0001:00004B15       CAEVehicleAudioEntity::StaticGetPlayerVehicleAudioSettingsForRadio(void)
 0001:00005040       _ZN11CAutomobile20SpawnFlyingComponentEij_
 0001:000057B0       CStreaming::AddImageToList(char const*,bool)
 0001:00006180       random
 0001:00006430       Fx_c::AddSparks(CVector &,CVector &,float,int,CVector,uchar,float,float)
 0001:000066A0       CStreaming::IsVeryBusy(void)
 0001:00006851       j_CCheat__VehicleCheat
 0001:00006BE0       CStreaming::ImGonnaUseStreamingMemory(void)
 0001:00006BF0       CStreaming::IHaveUsedStreamingMemory(void)
 0001:00006C50       CStreaming::GetDefaultCopCarModel(uint)
 0001:00006D10       CStreaming::DisableCopBikes(bool)
 0001:00006F20       CStreaming::LoadInitialVehicles(void)
 0001:0000704A       CRadar::DisplayThisBlip(int,signed char)
 0001:00007230       CLinkList<CEntity *>::Insert(CEntity * const&)
 0001:000072C0       CVector__Length
 0001:000073C0       CStreaming__InitImageList
 0001:000074B0       CStreaming::Shutdown(void)
 0001:000077E0       CStreaming::RequestModel(int,int)
 0001:00007C8C       CAutomobile::PreRender(void)
 0001:00008650       CStreaming::AddEntity(CEntity *)
 0001:000086D0       CStreaming::RenderEntity(CLink<CEntity *> *)
 0001:00008710       CStreaming::RemoveEntity(CLink<CEntity *> *)
 0001:00008A95       _ZN9CPhysical18ApplySoftCollisionEPS_R9CColPointRfS3__
 0001:00008D10       CStreaming::RequestSpecialModel(int,char const*,int)
 0001:000090C2       CPad::StartShake(short,uchar,uint)
 0001:00009120       CStreaming::LoadInitialWeapons(void)
 0001:00009467       CStreaming::LoadAllRequestedModels(bool)
 0001:0000A3A0       CStreaming::RemoveInappropriatePedModels(void)
 0001:0000B6B0       CStreaming::ConvertBufferToObject(char *,int,int)
 0001:0000C3D0       CStreaming::LoadInitialPeds(void)
 0001:0000D120       CStreaming::MakeSpaceFor(int)
 0001:0000D460       CStreaming::FlushChannels(void)
 0001:0000D560       CStreaming::ReInit(void)
 0001:0000D670       CStreaming::Update(void)
 0001:0000DA10       CStreaming::LoadAllRequestedModels(bool)
 0001:0000DB70       CStreaming::LoadScene(CVector const&)
 0001:0000DD80       CStreaming::LoadSceneCollision(CVector const&)
 0001:0000E700       CColModel::~CColModel()
 0001:0000E870       CColModel::AllocateData(int,int,int,int,int,bool)
 0001:0000E9E0       CColModel::RemoveCollisionVolumes(void)
 0001:0000EC40       CColModel::operator delete(void *)
 0001:0000EC80       CColPoint::operator=(CColPoint const&)
 0001:0000ED10       CColSphere::Set(float,CVector const&,uchar,uchar,uchar)
 0001:0000EDB0       CVector__normalizeSquared
 0001:0000EE30       CVector__Add
 0001:0000EE60       CVector::Minus(void)
 0001:0000EE90       CVector::Multiply(CVector,CVector)
 0001:0000EEC0       CVector__operator_scalar_mult
 0001:0000EEF0       CVector__operator_multiply
 0001:0000FCE0       CColStore::HasCollisionLoaded(CVector const&,int)
 0001:00010990       AllocateAndUpdateMatrix
 0001:00010A00       CVector__operator_add
 0001:00010E20       CCollision::Update(void)
 0001:00010E30       CCollision::SortOutCollisionAfterLoad(void)
 0001:00015260       CCollision__Init
 0001:000152E0       CCollision::Shutdown(void)
 0001:00017580       CCollision::CalculateTrianglePlanes(CColModel *)
 0001:000175C0       CCollision::ProcessColModels(CMatrix const&,CColModel &,CMatrix const&,CColModel &,CColPoint *,CColPoint *,float *,bool)
 0001:0001A310       CCollisionPlugin::PluginAttach(void)
 0001:0001AC70       CBridge__Init
 0001:0001AD90       random_float
 0001:0001CA30       CCarAI::UpdateCarAI(CVehicle *)
 0001:00020180       CTask::StopTimer(CEvent const*)
 0001:00020190       CTaskComplex::GetSubTask(void)
 0001:000201A0       CTaskComplex::IsSimpleTask(void)
 0001:000201B0       CTask::Serialize(void)
 0001:000202E0       CCarCtrl__Init
 0001:000203B0       CCarCtrl__ReInit
 0001:00020440       generateVehicle_todo_name
 0001:00021370       CCarCtrl::FindGhostRoadHeight(CVehicle *)
 0001:00022F10       CCarCtrl::PruneVehiclesOfInterest(void)
 0001:00022FC0       CCarCtrl::SwitchVehicleToRealPhysics(CVehicle *)
 0001:00023000       CCarCtrl::UpdateCarCount(CVehicle *,uchar)
 0001:00030F80       CCarCtrl::CreateCarForScript(int,CVector,uchar)
 0001:00036C20       CCarCtrl::SteerAICarWithPhysics(CVehicle *)
 0001:00037450       CCheat__ResetCheats
 0001:00038A80       CMatrix__SetRotate2?
 0001:00038AF0       CCheat::DoCheats(void)
 0001:000390B0       CCheat::VehicleCheat(int)
 0001:00039510       CCheat::TrashmasterCheat(void)
 0001:000397B0       CConversations::Clear(void)
 0001:00039AE0       CPedToPlayerConversations::Clear(void)
 0001:0003BEB0       CDarkel__Init
 0001:0003BEC0       CDarkel::DrawMessages(void)
 0001:0003C1F0       CDarkel::FrenzyOnGoing(void)
 0001:0003CAC0       CDarkel::Update(void)
 0001:0003CF20       CDarkel::RegisterCarBlownUpByPlayer(CVehicle *,int)
 0001:0003D300       CTaskSimple::GetSubTask(void)
 0001:0003D310       CTaskSimple::IsSimpleTask(void)
 0001:0003D320       CTaskSimple::SetPedPosition(CPed *)
 0001:0003E0A0       CEntryExitManager__PostEntryExitsCreation
 0001:0003E880       CEntryExitManager__Init
 0001:0003F4A0       CEntryExit::TransitionFinished(CPed *)
 0001:0003FC40       CEntryExitManager::ShutdownForRestart(void)
 0001:0003FD10       CEntryExitManager::Update(void)
 0001:00040210       CGameLogic__InitAtStartOfGame
 0001:00040390       CGameLogic::IsCoopGameGoingOn(void)
 0001:000404C0       CGameLogic::PassTime(uint)
 0001:00040560       CGameLogic::ClearSkip(bool)
 0001:00040C10       CGameLogic::LaRiotsActiveHere(void)
 0001:00041060       CGameLogic::RestorePlayerStuffDuringResurrection(CPlayerPed *,CVector,float)
 0001:00042920       CGangWars__InitAtStartOfGame
 0001:00042FF0       CGangWars::ClearSpecificZonesToTriggerGangWar(void)
 0001:000454C0       CGangWars::EndGangWar(bool)
 0001:00046120       CGarages__Init
 0001:000461B0       CGarages::Shutdown(void)
 0001:00046790       CGarages::PrintMessages(void)
 0001:00047AF0       CGarages::IsModelIndexADoor(int)
 0001:00047B60       CGarages__Init_AfterRestart
 0001:000494D0       CObject::ProcessGarageDoorBehaviour(void)
 0001:0004B8C0       CGarages::Update(void)
 0001:0004BC20       COnscreenTimer::ProcessForDisplay(void)
 0001:0004C080       CPathFind__Init
 0001:0004C0E0       CPathFind__PreparePathData
 0001:0004C2B0       CPathFind__AllocatePathFindInfoMem
 0001:0004C960       CPathFind::SetLinksBridgeLights(float,float,float,float,bool)
 0001:0004D4E0       CPathFind__ReInit
 0001:0004FA60       CPathFind::UpdateStreaming(bool)
 0001:00053A70       CPickups__Init
 0001:00053E80       CPickups::DoMoneyEffects(CEntity *)
 0001:00054000       CPickups::RenderPickUpText(void)
 0001:00054470       CPickups::RemovePickupObjects(void)
 0001:000557E0       CPickup::GiveUsAPickUpObject(CObject **,int)
 0001:00057DE0       CPickups::Update(void)
 0001:00058390       CVehicleRecording__Init
 0001:00058400       CVehicleRecording::ShutDown(void)
 0001:000584C0       CVehicleRecording::IsPlaybackGoingOnForCar(CVehicle *)
 0001:00058F70       CVehicleRecording::Render(void)
 0001:000591B0       CVehicleRecording::InitAtStartOfGame(void)
 0001:0005A150       CReplay::DisableReplays(void)
 0001:0005A160       CReplay::EnableReplays(void)
 0001:0005B210       CReplay::Display(void)
 0001:0005CEF0       CReplay::RestorePlayerInfoVariables(void)
 0001:0005D220       CReplay__Init
 0001:0005DC90       CReplay::EmptyReplayBuffer(void)
 0001:0005DCD0       CReplay::RestoreStuffFromMem(void)
 0001:0005E050       CReplay::FinishPlayback(void)
 0001:0005E180       CReplay::StoreStuffInMem(void)
 0001:0005F0F0       CReplay::TriggerPlayback(uchar,float,float,float,bool)
 0001:0005F390       PlayReplayFromHD(void)
 0001:0005F500       CReplay::Update(void)
 0001:0005F630       CRestart__Initialise
 0001:0005FCD0       CTaskComplexWander::GetTaskType(void)
 0001:00060100       CRoadBlocks__Init
 0001:000609C0       CRoadBlocks::GenerateRoadBlocks(void)
 0001:000609C7       CRoadBlocks::CreateRoadBlockBetween2Points(CVector,CVector,uint)
 0001:000627E0       CMissionCleanup::AddEntityToList(int,uchar)
 0001:00063080       CRunningScript::CollectParameters(short)
 0001:00063370       CRunningScript::StoreParameters(short)
 0001:00063500       CRunningScript::ReadParametersForNewlyStartedScript(CRunningScript*)
 0001:00063790       CRunningScript::GetPointerToScriptVariable(uchar)
 0001:00063BD0       CRunningScript::RemoveScriptFromList(CRunningScript**)
 0001:00063C00       CRunningScript::AddScriptToList(CRunningScript**)
 0001:00063C20       CTheScripts::StartNewScript(uchar *)
 0001:00063D40       CTheScripts__StartTestScript
 0001:00063DA0       CRunningScript::UpdatePC(int)
 0001:00063F50       CRunningScript::GetCorrectPedModelIndexForEmergencyServiceType(int,int *)
 0001:00064070       CProjectileInfo::RemoveFXSystem(uchar)
 0001:000642D0       CMissionCleanup__CheckIfCollisionHasLoadedForMissionObjects
 0001:000645E0       CUpsideDownCarCheck__UpdateTimers
 0001:00064680       CStuckCarCheck__Process
 0001:00064AA0       CRunningScript::ShutdownThisScript(void)
 0001:00064E60       CRunningScript::ProcessCommands0To99(int)
 0001:00065DE0       CRunningScript::ProcessCommands100To199(int)
 0001:00067560       CMissionCleanup::Process(void)
 0001:00067D50       CTheScripts__Init
 0001:00068390       CRunningScript::ProcessCommands200To299(int)
 0001:00069000       CTheScripts::Process(void)
 0001:00069760       CEntity__IsGlass
 0001:0006A460       CRunningScript::ProcessCommands1900To1999(int)
 0001:0006BF00       CTheScripts__ProcessWaitingForScriptBrainArray
 0001:0006C050       CRunningScript::ProcessCommands1800To1899(int)
 0001:0006FA90       CRunningScript::ProcessCommands2100To2199(int)
 0001:00071310       CRunningScript::ProcessCommands2000To2099(int)
 0001:000738F0       CTaskSimple::~CTaskSimple()
 0001:00073900       CRunningScript::ProcessCommands2200To2299(int)
 0001:000752D0       CRunningScript::ProcessCommands2300To2399(int)
 0001:00077000       CRunningScript::ProcessCommands2400To2499(int)
 0001:00078DA0       CRunningScript::ProcessCommands2600To2699(int)
 0001:00079760       CRunningScript::ProcessCommands2500To2599(int)
 0001:0007B100       CRunningScript::ProcessCommands300To399(int)
 0001:0007C210       CRunningScript::ProcessCommands400To499(int)
 0001:0007D090       CRunningScript::ProcessCommands500To599(int)
 0001:0007E370       CRunningScript::ProcessCommands600To699(int)
 0001:0007EA30       CRunningScript::ProcessCommands700To799(int)
 0001:000800E0       CTheScripts__DrawScriptSpheres
 0001:00080290       CTheScripts::UndoBuildingSwaps(void)
 0001:000802D0       CTheScripts::UndoEntityInvisibilitySettings(void)
 0001:00080300       CRunningScript::ProcessCommands800To899(int)
 0001:00082720       CTheScripts::GetNewUniqueScriptThingIndex(int,uchar)
 0001:000829A0       CTheScripts::GetActualScriptThingIndex(int,uchar)
 0001:00082BD0       CRunningScript::ProcessCommands900To999(int)
 0001:000849D0       CRunningScript::UpdateCompareFlag(uchar)
 0001:00085B00       CTheScripts::ClearSpaceForMissionEntity(CVector const&,CEntity *)
 0001:00088500       CRunningScript::ProcessCommands1000To1099(int)
 0001:00089320       CRunningScript::ProcessCommands1100To1199(int)
 0001:0008A590       CRunningScript::ProcessCommands1200To1299(int)
 0001:0008BDD0       CRunningScript::ProcessCommands1300To1399(int)
 0001:0008CEA0       CTaskSimpleRunAnim::GetTaskType(void)
 0001:0008CEB0       CTaskSimpleCower::Clone(void)
 0001:0008CF20       CTaskSimpleCower::IsInterruptable(CPed const*)
 0001:0008D0E0       CTaskSimpleRunTimedAnim::GetTaskType(void)
 0001:0008DAA0       CRunningScript::ProcessCommands1400To1499(int)
 0001:0008FDB0       CRunningScript::ProcessCommands1500To1599(int)
 0001:00092000       CTheScripts::AddScriptSearchLight(float,float,float,CEntity *,float,float,float,float,float)
 0001:000929F0       CTheScripts__ProcessAllSearchLights
 0001:00092E30       CTheScripts::RenderAllSearchLights(void)
 0001:00092FE0       CRunningScript::ProcessCommands1600To1699(int)
 0001:00095E00       CRunningScript::ProcessCommands1700To1799(int)
 0001:000984F0       CSetPieces::Init(void)
 0001:00099A00       CSetPieces::Update(void)
 0001:0009B290       CShopping__Init
 0001:0009B490       CStuntJumpManager::Update(void)
 0001:0009BA50       CStuntJumpManager__Init
 0001:0009BB10       CStuntJumpManager::ShutdownForRestart(void)
 0001:0009BBC0       CStuntJumpManager::Shutdown(void)
 0001:0009BC50       CTagManager__Init
 0001:0009BC60       CTagManager::ShutdownForRestart(void)
 0001:0009BC90       CTagManager::AddTag(CEntity *)
 0001:0009BCE0       CTagManager::IsTag(CEntity const*)
 0001:0009BD50       CTagManager::ResetAlpha(CEntity *)
 0001:0009BDE0       CTagManager::UpdateNumTagged(void)
 0001:0009D640       Fx_c::Update(RwCamera *,float)
 0001:0009D650       Fx_c::Render(RwCamera *,uchar)
 0001:0009D660       Fx_c::InitStaticSystems(void)
 0001:0009D850       Fx_c::ExitStaticSystems(void)
 0001:0009D950       Fx_c::CreateMatFromVec(RwMatrixTag *,CVector *,CVector *)
 0001:0009DA50       Fx_c::GetFxQuality(void)
 0001:0009DA70       ListItem_c::~ListItem_c()
 0001:0009DA90       Fx_c::Init(void)
 0001:0009DAE0       Fx_c::Reset(void)
 0001:0009DB00       Fx_c::AddBlood(CVector &,CVector &,int,float)
 0001:0009DE10       Fx_c::AddWood(CVector &,CVector &,int,float)
 0001:0009E040       Fx_c::AddSparks(CVector &,CVector &,float,int,CVector,uchar,float,float)
 0001:0009E045       Fx_c::AddSparks(CVector &,CVector &,float,int,CVector,uchar,float,float)
 0001:0009E300       Fx_c::AddTyreBurst(CVector &,CVector &)
 0001:0009E3D0       Fx_c::AddBulletImpact(CVector &,CVector &,int,int,float)
 0001:0009E670       Fx_c::AddPunchImpact(CVector &,CVector &,int)
 0001:0009E750       Fx_c::AddDebris(CVector &,RwRGBA &,float,int)
 0001:0009E975       Fx_c::AddGlass(CVector &,RwRGBA &,float,int)
 0001:0009EB30       Fx_c::AddWheelSpray(CVehicle *,CVector,uchar,uchar,float)
 0001:0009EF20       Fx_c::AddWheelGrass(CVehicle *,CVector,uchar,float)
 0001:0009F170       Fx_c::AddWheelGravel(CVehicle *,CVector,uchar,float)
 0001:0009F3C0       Fx_c::AddWheelMud(CVehicle *,CVector,uchar,float)
 0001:0009F610       Fx_c::AddWheelSand(CVehicle *,CVector,uchar,float)
 0001:0009F9C0       Fx_c::AddWheelDust(CVehicle *,CVector,uchar,float)
 0001:0009FD70       Fx_c::TriggerWaterHydrant(CVector &)
 0001:0009FDE0       Fx_c::TriggerGunshot(CEntity *,CVector &,CVector &,bool)
 0001:0009FFA0       Fx_c::TriggerTankFire(CVector &,CVector &)
 0001:000A0070       Fx_c::TriggerWaterSplash(CVector &)
 0001:000A00E0       Fx_c::TriggerBulletSplash(CVector &)
 0001:000A0150       Fx_c::TriggerFootSplash(CVector &)
 0001:000A01E0       Fx_c::CreateEntityFx(CEntity *,char *,RwV3d *,RwMatrixTag *)
 0001:000A0280       Fx_c::DestroyEntityFx(CEntity *)
 0001:000A02D0       Fx_c::ExitEntitySystems(void)
 0001:000A0320       Fx_c::Exit(void)
 0001:000A08B0       FxEmitterPrt_c::operator new[](uint)
 0001:000A08D0       FxEmitterBP_c::FxEmitterBP_c(void)
 0001:000A0900       FxEmitterBP_c::operator new(uint)
 0001:000A14D0       FxEmitterBP_c::IsFxInfoPresent(int)
 0001:000A1510       FxEmitterBP_c::FreePrtFromPrim(FxSystem_c *)
 0001:000A1550       FxEmitter_c::Init(FxPrimBP_c *,FxSystem_c *)
 0001:000A1570       FxEmitter_c::Reset(void)
 0001:000A1B20       FxEmitterBP_c::~FxEmitterBP_c()
 0001:000A1B40       FxEmitterBP_c::CreateInstance(void)
 0001:000A1B90       FxEmitter_c::~FxEmitter_c()
 0001:000A1BC0       FxEmitterBP_c::Update(float)
 0001:000A1C40       FxEmitterBP_c::Render(RwCamera *,uint,float,uchar)
 0001:000A2EA0       FxEmitter_c::AddParticle(RwMatrixTag *,RwV3d *,float,FxPrtMult_c *,float,float,uchar)
 0001:000A3050       FxEmitter_c::AddParticle(RwV3d *,RwV3d *,float,FxPrtMult_c *,float,float,uchar)
 0001:000A3460       FxEmitter_c::Update(float,float)
 0001:000A3C20       FxInfoEmSize_c::FxInfoEmSize_c(void)
 0001:000A3D00       FxInfoEmSpeed_c::FxInfoEmSpeed_c(void)
 0001:000A3D70       FxInfoEmSpeed_c::Load(int,int)
